"types"	"counts"
"609"	"ANKRD1"	1
"610"	"ANKRD10"	1
"611"	"ANKRD11"	20
"612"	"ANKRD12"	10
"613"	"ANKRD13A"	2
"614"	"ANKRD13B"	1
"615"	"ANKRD13C"	3
"616"	"ANKRD13D"	4
"617"	"ANKRD16"	3
"618"	"ANKRD17"	18
"619"	"ANKRD18A"	1
"620"	"ANKRD20A1"	4
"621"	"ANKRD20A11P"	1
"622"	"ANKRD20A2"	1
"623"	"ANKRD20A4"	5
"624"	"ANKRD23"	1
"625"	"ANKRD24"	3
"626"	"ANKRD26"	12
"627"	"ANKRD27"	5
"628"	"ANKRD28"	1
"629"	"ANKRD30A"	21
"630"	"ANKRD30B"	13
"631"	"ANKRD30BL"	1
"632"	"ANKRD32"	2
"633"	"ANKRD33"	3
"634"	"ANKRD34A"	1
"635"	"ANKRD34B"	3
"636"	"ANKRD35"	4
"637"	"ANKRD36"	7
"638"	"ANKRD36B"	2
"639"	"ANKRD36C"	3
"640"	"ANKRD37"	1
"641"	"ANKRD39"	1
"642"	"ANKRD40"	1
"643"	"ANKRD42"	2
"644"	"ANKRD44"	4
"645"	"ANKRD45"	3
"646"	"ANKRD46"	1
"647"	"ANKRD49"	2
"648"	"ANKRD50"	16
"649"	"ANKRD52"	6
"650"	"ANKRD53"	3
"651"	"ANKRD55"	2
"652"	"ANKRD6"	5
"653"	"ANKRD7"	2
"654"	"ANKS1A"	3
"655"	"ANKS1B"	15
"656"	"ANKS3"	2
"657"	"ANKS4B"	3
"658"	"ANKS6"	4
"659"	"ANKZF1"	5
"660"	"ANLN"	9
"661"	"ANO1"	6
"662"	"ANO10"	3
"663"	"ANO2"	7
"664"	"ANO3"	6
"665"	"ANO4"	12
"666"	"ANO5"	20
"667"	"ANO6"	3
"668"	"ANO7"	6
"669"	"ANO8"	1
"670"	"ANO9"	7
"671"	"ANP32A"	1
"672"	"ANP32D"	1
"673"	"ANP32E"	4
"674"	"ANTXR1"	1
"675"	"ANTXR2"	1
"676"	"ANXA1"	2
"677"	"ANXA10"	1
"678"	"ANXA11"	3
"679"	"ANXA13"	1
"680"	"ANXA2R"	3
"681"	"ANXA3"	1
"682"	"ANXA4"	2
"683"	"ANXA6"	5
"684"	"ANXA7"	4
"685"	"AOAH"	4
"686"	"AOC1"	6
"687"	"AOC2"	5
"688"	"AOC3"	6
"689"	"AOX1"	10
"690"	"AP006285-2"	2
"691"	"AP1AR"	2
"692"	"AP1B1"	3
"693"	"AP1G1"	11
"694"	"AP1G2"	3
"695"	"AP1M1"	1
"696"	"AP1S1"	1
"697"	"AP1S2"	1
"698"	"AP2A1"	4
"699"	"AP2A2"	2
"700"	"AP2B1"	4
"701"	"AP2M1"	2
"702"	"AP3B1"	4
"703"	"AP3B2"	7
"704"	"AP3D1"	7
"705"	"AP3M1"	1
"706"	"AP3M2"	1
"707"	"AP3S2"	2
"708"	"AP4B1"	5
"709"	"AP4E1"	6
"710"	"AP4M1"	3
"711"	"AP5B1"	3
"712"	"AP5M1"	7
"713"	"AP5Z1"	6
"714"	"APAF1"	15
"715"	"APBA1"	13
"716"	"APBA2"	6
"717"	"APBA3"	3
"718"	"APBB1"	4
"719"	"APBB1IP"	7
"720"	"APBB2"	1
"721"	"APC"	28
"722"	"APC2"	4
"723"	"APCDD1"	1
"724"	"APCDD1L"	1
"725"	"APCS"	2
"726"	"APEH"	2
"727"	"APEX2"	1
