"types"	"counts"
"328"	"ADPRHL2"	2
"329"	"ADRA1A"	9
"330"	"ADRA1B"	1
"331"	"ADRA1D"	1
"332"	"ADRA2A"	2
"333"	"ADRA2B"	2
"334"	"ADRA2C"	4
"335"	"ADRB1"	2
"336"	"ADRB2"	1
"337"	"ADRB3"	28
"338"	"ADRBK1"	24
"339"	"ADRBK2"	3
"340"	"ADSS"	4
"341"	"ADSSL1"	7
"342"	"ADTRP"	2
"343"	"AEBP1"	3
"344"	"AEBP2"	6
"345"	"AEN"	2
"346"	"AES"	2
"347"	"AFAP1"	5
"348"	"AFAP1-AS1"	4
"349"	"AFAP1L1"	1
"350"	"AFAP1L2"	2
"351"	"AFF1"	2
"352"	"AFF2"	6
"353"	"AFF3"	2
"354"	"AFF4"	2
"355"	"AFG3L1P"	5
"356"	"AFG3L2"	7
"357"	"AFM"	1
"358"	"AFMID"	1
"359"	"AFP"	1
"360"	"AFTPH"	4
"361"	"AGA"	6
"362"	"AGAP1"	8
"363"	"AGAP2"	2
"364"	"AGAP3"	7
"365"	"AGAP4"	2
"366"	"AGAP5"	2
"367"	"AGAP6"	2
"368"	"AGAP7"	3
"369"	"AGAP8"	3
"370"	"AGAP9"	2
"371"	"AGBL1"	2
"372"	"AGBL2"	5
"373"	"AGBL3"	6
"374"	"AGBL4"	1
"375"	"AGBL5"	2
"376"	"AGER"	5
"377"	"AGFG1"	3
"378"	"AGFG2"	17
"379"	"AGGF1"	2
"380"	"AGK"	5
"381"	"AGL"	3
"382"	"AGMAT"	2
"383"	"AGMO"	7
"384"	"AGO1"	2
"385"	"AGO2"	33
"386"	"AGO3"	2
"387"	"AGO4"	2
"388"	"AGPAT1"	5
"389"	"AGPAT2"	9
"390"	"AGPAT3"	1
"391"	"AGPAT4"	1
"392"	"AGPAT4-IT1"	1
"393"	"AGPAT5"	12
"394"	"AGPAT6"	12
"395"	"AGPAT9"	3
"396"	"AGPHD1"	2
"397"	"AGPS"	16
"398"	"AGR2"	7
"399"	"AGR3"	7
"400"	"AGRN"	2
"401"	"AGRP"	3
"402"	"AGSK1"	2
"403"	"AGT"	4
"404"	"AGTPBP1"	3
"405"	"AGTR1"	42
"406"	"AGTR2"	7
"407"	"AGTRAP"	1
"408"	"AGXT"	7
"409"	"AGXT2"	14
"410"	"AGXT2L2"	2
"411"	"AHCTF1"	5
"412"	"AHCY"	11
"413"	"AHCYL1"	2
"414"	"AHCYL2"	4
"415"	"AHI1"	3
"416"	"AHNAK"	5
"417"	"AHNAK2"	8
"418"	"AHR"	6
"419"	"AHRR"	26
"420"	"AHSA1"	4
"421"	"AHSA2"	4
"422"	"AHSG"	56
"423"	"AICDA"	7
"424"	"AIDA"	4
"425"	"AIF1"	5
"426"	"AIF1L"	5
"427"	"AIFM1"	6
"428"	"AIFM2"	2
"429"	"AIFM3"	5
"430"	"AIG1"	3
"431"	"AIM1"	3
"432"	"AIM2"	6
"433"	"AIMP2"	6
"434"	"AIP"	21
"435"	"AIRE"	1
"436"	"AJAP1"	1
"437"	"AJUBA"	4
"438"	"AK1"	5
"439"	"AK2"	3
"440"	"AK3"	20
"441"	"AK4"	1
"442"	"AK5"	1
"443"	"AK7"	6
"444"	"AK8"	5
"445"	"AKAP1"	2
"446"	"AKAP10"	2
"447"	"AKAP11"	3
"448"	"AKAP13"	3
"449"	"AKAP14"	8
"450"	"AKAP17A"	18
"451"	"AKAP2"	6
"452"	"AKAP3"	9
"453"	"AKAP4"	15
"454"	"AKAP5"	5
"455"	"AKAP6"	4
"456"	"AKAP7"	4
"457"	"AKAP8"	4
"458"	"AKAP8L"	4
"459"	"AKAP9"	17
"460"	"AKD1"	3
"461"	"AKIP1"	1
"462"	"AKIRIN1"	5
"463"	"AKIRIN2"	2
"464"	"AKIRIN2-AS1"	2
"465"	"AKNA"	6
"466"	"AKNAD1"	3
"467"	"AKR1A1"	2
"468"	"AKR1B1"	7
"469"	"AKR1B10"	7
"470"	"AKR1B15"	7
"471"	"AKR1C1"	2
"472"	"AKR1C2"	3
"473"	"AKR1C3"	3
"474"	"AKR1D1"	7
"475"	"AKR1E2"	1
"476"	"AKR7A2P1"	7
"477"	"AKT1"	8
"478"	"AKT1S1"	1
"479"	"AKT2"	4
"480"	"AKT3"	5
"481"	"AKTIP"	3
"482"	"ALAD"	6
"483"	"ALAS1"	2
"484"	"ALAS2"	14
"485"	"ALB"	1
"486"	"ALCAM"	8
"487"	"ALDH16A1"	1
"488"	"ALDH1A1"	4
"489"	"ALDH1A3"	3
"490"	"ALDH1B1"	11
"491"	"ALDH1L1"	10
"492"	"ALDH3A1"	2
"493"	"ALDH3A2"	2
"494"	"ALDH3B1"	23
"495"	"ALDH3B2"	22
"496"	"ALDH5A1"	3
"497"	"ALDH6A1"	3
"498"	"ALDH7A1"	3
"499"	"ALDH8A1"	3
"500"	"ALDH9A1"	5
"501"	"ALDOA"	2
"502"	"ALDOB"	4
"503"	"ALDOC"	1
"504"	"ALG1"	3
"505"	"ALG10"	2
"506"	"ALG10B"	2
"507"	"ALG11"	3
"508"	"ALG13"	5
"509"	"ALG14"	3
"510"	"ALG1L"	10
"511"	"ALG1L2"	12
"512"	"ALG2"	4
"513"	"ALG3"	56
"514"	"ALG5"	3
"515"	"ALG6"	1
"516"	"ALG8"	18
"517"	"ALG9"	7
"518"	"ALK"	2
"519"	"ALKBH1"	3
"520"	"ALKBH2"	1
"521"	"ALKBH3"	8
"522"	"ALKBH4"	15
"523"	"ALKBH5"	1
"524"	"ALKBH6"	2
"525"	"ALKBH7"	2
"526"	"ALKBH8"	7
"527"	"ALMS1"	2
"528"	"ALMS1P"	2
"529"	"ALOX5"	3
"530"	"ALOX5AP"	1
"531"	"ALPI"	3
"532"	"ALPK1"	1
"533"	"ALPK2"	12
"534"	"ALPK3"	2
"535"	"ALPP"	3
"536"	"ALPPL2"	3
"537"	"ALS2"	9
"538"	"ALS2CL"	2
"539"	"ALS2CR11"	8
"540"	"ALS2CR12"	7
"541"	"ALS2CR8"	10
"542"	"ALX3"	2
"543"	"ALX4"	7
"544"	"ALYREF"	3
"545"	"AMACR"	15
"546"	"AMBN"	1
"547"	"AMBP"	6
"548"	"AMBRA1"	8
"549"	"AMD1"	3
"550"	"AMDHD2"	1
"551"	"AMELX"	16
"552"	"AMER1"	4
"553"	"AMER2"	2
"554"	"AMFR"	2
"555"	"AMH"	3
"556"	"AMHR2"	1
"557"	"AMICA1"	5
"558"	"AMIGO1"	2
"559"	"AMIGO2"	3
"560"	"AMIGO3"	2
"561"	"AMMECR1"	5
"562"	"AMN"	11
"563"	"AMN1"	7
"564"	"AMOT"	5
"565"	"AMOTL1"	9
"566"	"AMOTL2"	21
"567"	"AMPD1"	9
"568"	"AMPD2"	2
"569"	"AMPD3"	1
"570"	"AMPH"	2
"571"	"AMT"	2
"572"	"AMTN"	2
"573"	"AMY1A"	3
"574"	"AMY1B"	3
"575"	"AMY1C"	3
"576"	"AMY2A"	3
"577"	"AMY2B"	3
"578"	"AMZ1"	7
"579"	"AMZ2"	2
"580"	"AMZ2P1"	2
"581"	"ANAPC1"	1
"582"	"ANAPC10"	2
"583"	"ANAPC11"	3
"584"	"ANAPC13"	21
"585"	"ANAPC15"	30
"586"	"ANAPC16"	2
"587"	"ANAPC2"	5
"588"	"ANAPC4"	3
"589"	"ANAPC7"	1
"590"	"ANG"	4
"591"	"ANGEL1"	3
"592"	"ANGEL2"	3
"593"	"ANGPT1"	18
"594"	"ANGPT2"	12
"595"	"ANGPT4"	1
"596"	"ANGPTL1"	4
"597"	"ANGPTL2"	5
"598"	"ANGPTL3"	1
"599"	"ANGPTL4"	4
"600"	"ANGPTL5"	23
"601"	"ANGPTL6"	5
"602"	"ANGPTL7"	1
"603"	"ANK1"	13
"604"	"ANK3"	2
"605"	"ANKAR"	8
"606"	"ANKEF1"	5
"607"	"ANKFN1"	3
"608"	"ANKH"	18
"609"	"ANKHD1"	1
"610"	"ANKHD1-EIF4EBP3"	1
"611"	"ANKIB1"	16
"612"	"ANKK1"	5
"613"	"ANKLE1"	1
"614"	"ANKMY1"	7
"615"	"ANKMY2"	7
"616"	"ANKRA2"	2
"617"	"ANKRD10"	8
"618"	"ANKRD11"	5
"619"	"ANKRD12"	5
"620"	"ANKRD13A"	1
"621"	"ANKRD13C"	2
"622"	"ANKRD13D"	23
"623"	"ANKRD17"	1
"624"	"ANKRD18A"	11
"625"	"ANKRD18B"	10
"626"	"ANKRD18DP"	53
"627"	"ANKRD19P"	6
"628"	"ANKRD20A1"	6
"629"	"ANKRD20A11P"	8
"630"	"ANKRD20A2"	6
"631"	"ANKRD20A3"	6
"632"	"ANKRD20A4"	6
"633"	"ANKRD20A5P"	6
"634"	"ANKRD20A8P"	2
"635"	"ANKRD20A9P"	4
"636"	"ANKRD22"	2
"637"	"ANKRD23"	8
"638"	"ANKRD24"	3
"639"	"ANKRD26"	2
"640"	"ANKRD26P1"	3
"641"	"ANKRD26P3"	5
"642"	"ANKRD27"	5
"643"	"ANKRD28"	3
"644"	"ANKRD29"	9
"645"	"ANKRD30A"	2
"646"	"ANKRD30B"	3
"647"	"ANKRD30BP2"	8
"648"	"ANKRD31"	2
"649"	"ANKRD32"	1
"650"	"ANKRD33"	1
"651"	"ANKRD33B"	20
"652"	"ANKRD34A"	6
"653"	"ANKRD34B"	1
"654"	"ANKRD34C"	3
"655"	"ANKRD35"	6
"656"	"ANKRD36"	8
"657"	"ANKRD36B"	8
"658"	"ANKRD36BP1"	5
"659"	"ANKRD36BP2"	1
"660"	"ANKRD37"	9
"661"	"ANKRD39"	9
"662"	"ANKRD40"	2
"663"	"ANKRD42"	12
"664"	"ANKRD44"	6
"665"	"ANKRD45"	4
"666"	"ANKRD46"	15
"667"	"ANKRD49"	10
"668"	"ANKRD50"	3
"669"	"ANKRD52"	2
"670"	"ANKRD53"	2
"671"	"ANKRD55"	4
"672"	"ANKRD6"	2
"673"	"ANKRD62P1-PARP4P3"	9
"674"	"ANKRD65"	2
"675"	"ANKRD7"	3
"676"	"ANKRD9"	9
"677"	"ANKS1A"	2
"678"	"ANKS3"	1
"679"	"ANKS4B"	1
"680"	"ANKS6"	4
"681"	"ANKUB1"	43
"682"	"ANKZF1"	5
"683"	"ANLN"	2
"684"	"ANO1"	85
"685"	"ANO10"	2
"686"	"ANO2"	7
"687"	"ANO3"	1
"688"	"ANO4"	1
"689"	"ANO5"	1
"690"	"ANO6"	3
"691"	"ANO7"	7
"692"	"ANO8"	1
"693"	"ANO9"	3
"694"	"ANP32B"	4
"695"	"ANP32C"	5
"696"	"ANP32D"	2
"697"	"ANP32E"	9
"698"	"ANPEP"	2
"699"	"ANTXR1"	2
"700"	"ANTXR2"	3
"701"	"ANTXRL"	2
"702"	"ANXA1"	4
"703"	"ANXA10"	3
"704"	"ANXA11"	1
"705"	"ANXA13"	27
"706"	"ANXA2P1"	3
"707"	"ANXA2P2"	11
"708"	"ANXA2P3"	2
"709"	"ANXA2R"	17
"710"	"ANXA3"	3
"711"	"ANXA4"	2
"712"	"ANXA5"	1
"713"	"ANXA6"	1
"714"	"ANXA7"	2
"715"	"ANXA8"	2
"716"	"ANXA8L1"	2
"717"	"ANXA8L2"	2
"718"	"ANXA9"	7
"719"	"AOAH"	2
"720"	"AOC2"	1
"721"	"AOC3"	1
"722"	"AOC4"	1
"723"	"AOX1"	9
"724"	"AOX2P"	9
"725"	"AP1AR"	1
"726"	"AP1B1"	3
"727"	"AP1B1P1"	2
"728"	"AP1G1"	3
"729"	"AP1G2"	3
"730"	"AP1M1"	4
"731"	"AP1M2"	5
"732"	"AP1S1"	15
"733"	"AP1S2"	14
"734"	"AP1S3"	6
"735"	"AP2A1"	1
"736"	"AP2A2"	2
"737"	"AP2M1"	58
"738"	"AP3B1"	2
"739"	"AP3B2"	2
"740"	"AP3D1"	3
"741"	"AP3M1"	2
"742"	"AP3M2"	12
"743"	"AP3S1"	2
"744"	"AP3S2"	2
"745"	"AP4B1"	9
"746"	"AP4E1"	2
"747"	"AP4M1"	18
"748"	"AP4S1"	3
"749"	"AP5M1"	4
"750"	"AP5Z1"	7
"751"	"APBA1"	4
