"types"	"counts"
"298"	"AMER1"	3
"299"	"AMER2"	1
"300"	"AMHR2"	1
"301"	"AMIGO2"	1
"302"	"AMIGO3"	1
"303"	"AMMECR1L"	1
"304"	"AMOT"	2
"305"	"AMOTL2"	1
"306"	"AMPD1"	1
"307"	"AMPH"	2
"308"	"AMY2A"	1
"309"	"AMY2B"	3
"310"	"AMZ1"	1
"311"	"ANAPC1"	4
"312"	"ANAPC7"	1
"313"	"ANGEL1"	1
"314"	"ANGEL2"	1
"315"	"ANGPT2"	1
"316"	"ANGPT4"	1
"317"	"ANGPTL3"	1
"318"	"ANGPTL6"	1
"319"	"ANK2"	7
"320"	"ANK3"	3
"321"	"ANKAR"	1
"322"	"ANKFN1"	1
"323"	"ANKFY1"	1
"324"	"ANKH"	2
"325"	"ANKIB1"	1
"326"	"ANKLE1"	1
"327"	"ANKLE2"	3
"328"	"ANKMY1"	1
"329"	"ANKRD1"	1
"330"	"ANKRD11"	5
"331"	"ANKRD12"	3
"332"	"ANKRD17"	5
"333"	"ANKRD26"	2
"334"	"ANKRD27"	1
"335"	"ANKRD30A"	3
"336"	"ANKRD30B"	5
"337"	"ANKRD30BL"	1
"338"	"ANKRD32"	1
"339"	"ANKRD35"	1
"340"	"ANKRD36"	4
"341"	"ANKRD40"	1
"342"	"ANKRD45"	1
"343"	"ANKRD50"	1
"344"	"ANKRD52"	2
"345"	"ANKS1B"	2
"346"	"ANKS3"	1
"347"	"ANKS6"	1
"348"	"ANLN"	2
"349"	"ANO1"	1
"350"	"ANO10"	1
"351"	"ANO2"	1
"352"	"ANO3"	2
"353"	"ANO4"	4
"354"	"ANO5"	2
"355"	"ANO6"	1
"356"	"ANO7"	1
"357"	"ANP32D"	1
"358"	"ANP32E"	2
"359"	"ANTXR1"	1
"360"	"ANTXR2"	1
"361"	"ANXA2R"	2
"362"	"ANXA6"	1
"363"	"ANXA7"	1
"364"	"AOAH"	1
"365"	"AOC1"	2
"366"	"AOC2"	1
"367"	"AP1G1"	2
"368"	"AP1G2"	1
"369"	"AP1M1"	1
"370"	"AP2A1"	2
"371"	"AP2B1"	1
"372"	"AP3B2"	4
"373"	"AP3D1"	3
"374"	"AP4E1"	2
"375"	"AP5M1"	3
"376"	"APAF1"	3
"377"	"APBA1"	3
"378"	"APBA2"	1
"379"	"APBB1"	1
"380"	"APC"	2
"381"	"APC2"	2
"382"	"APCDD1L"	1
"383"	"APH1A"	1
"384"	"API5"	1
"385"	"APITD1-CORT"	1
"386"	"APLF"	2
"387"	"APLNR"	1
"388"	"APLP1"	2
"389"	"APLP2"	2
"390"	"APOA5"	1
"391"	"APOB"	6
"392"	"APOBEC3B"	1
"393"	"APOBEC3H"	1
"394"	"APOL2"	1
"395"	"APOL6"	1
"396"	"APPL2"	3
"397"	"AQP11"	1
"398"	"AQP6"	1
"399"	"AQP9"	1
"400"	"ARAP2"	3
"401"	"ARAP3"	1
"402"	"AREL1"	1
"403"	"ARF4"	1
"404"	"ARF6"	1
"405"	"ARFGEF1"	4
"406"	"ARFGEF3"	2
"407"	"ARFRP1"	1
"408"	"ARG2"	1
"409"	"ARGFX"	1
"410"	"ARHGAP1"	1
"411"	"ARHGAP10"	1
"412"	"ARHGAP12"	1
"413"	"ARHGAP17"	2
"414"	"ARHGAP18"	1
"415"	"ARHGAP21"	3
"416"	"ARHGAP26"	2
"417"	"ARHGAP27"	1
"418"	"ARHGAP28"	1
"419"	"ARHGAP29"	2
"420"	"ARHGAP30"	4
"421"	"ARHGAP31"	3
"422"	"ARHGAP32"	1
"423"	"ARHGAP35"	5
"424"	"ARHGAP36"	1
"425"	"ARHGAP39"	1
"426"	"ARHGAP44"	2
"427"	"ARHGAP5"	5
"428"	"ARHGAP6"	1
"429"	"ARHGAP9"	1
"430"	"ARHGEF1"	1
"431"	"ARHGEF11"	1
"432"	"ARHGEF12"	3
"433"	"ARHGEF15"	1
"434"	"ARHGEF16"	1
"435"	"ARHGEF17"	3
"436"	"ARHGEF18"	1
"437"	"ARHGEF25"	1
"438"	"ARHGEF26"	1
"439"	"ARHGEF35"	1
"440"	"ARHGEF4"	2
"441"	"ARHGEF6"	2
"442"	"ARID1A"	2
"443"	"ARID2"	4
"444"	"ARID3B"	1
"445"	"ARID3C"	1
"446"	"ARID4A"	1
"447"	"ARID4B"	1
"448"	"ARID5B"	1
"449"	"ARL13A"	1
"450"	"ARL13B"	1
"451"	"ARL3"	1
"452"	"ARL4D"	1
"453"	"ARL6IP6"	1
"454"	"ARMC2"	1
"455"	"ARMC4"	3
"456"	"ARMC5"	1
"457"	"ARMC6"	1
"458"	"ARMC8"	1
"459"	"ARMC9"	4
"460"	"ARMCX2"	1
"461"	"ARNT"	1
"462"	"ARNT2"	2
"463"	"ARPP21"	3
"464"	"ARR3"	1
"465"	"ARRB1"	1
"466"	"ARRDC2"	2
"467"	"ARSA"	1
"468"	"ARSF"	1
"469"	"ART1"	1
"470"	"ART3"	1
"471"	"ART4"	1
"472"	"ARV1"	2
"473"	"ASAH2"	1
"474"	"ASAP1"	4
"475"	"ASB1"	1
"476"	"ASB10"	2
"477"	"ASB13"	1
"478"	"ASB15"	2
"479"	"ASB2"	1
"480"	"ASB4"	1
"481"	"ASB5"	1
"482"	"ASB9"	1
"483"	"ASCC1"	1
"484"	"ASCC3"	2
"485"	"ASCL1"	1
"486"	"ASH1L"	1
"487"	"ASH2L"	1
"488"	"ASIC1"	1
"489"	"ASIC2"	2
"490"	"ASIC4"	1
"491"	"ASIC5"	3
"492"	"ASMT"	1
"493"	"ASMTL"	2
"494"	"ASNS"	2
"495"	"ASNSD1"	1
"496"	"ASPA"	1
"497"	"ASPG"	1
"498"	"ASPH"	2
"499"	"ASPHD1"	1
"500"	"ASPHD2"	1
"501"	"ASPM"	6
"502"	"ASPN"	1
"503"	"ASTE1"	2
"504"	"ASTN1"	2
"505"	"ASTN2"	2
"506"	"ASXL1"	2
"507"	"ASXL3"	5
"508"	"ATAD1"	1
"509"	"ATAD2"	2
"510"	"ATAD2B"	2
"511"	"ATAD5"	6
"512"	"ATF1"	1
"513"	"ATF6B"	2
"514"	"ATF7IP"	1
"515"	"ATG2A"	1
"516"	"ATG2B"	1
"517"	"ATIC"	1
"518"	"ATL3"	1
"519"	"ATM"	2
"520"	"ATMIN"	1
"521"	"ATN1"	2
"522"	"ATP10A"	3
"523"	"ATP10B"	4
"524"	"ATP11A"	1
"525"	"ATP11B"	2
"526"	"ATP11C"	2
"527"	"ATP12A"	2
"528"	"ATP13A3"	2
"529"	"ATP13A4"	1
"530"	"ATP13A5"	1
"531"	"ATP1A3"	1
"532"	"ATP1A4"	1
"533"	"ATP1B1"	1
"534"	"ATP1B4"	1
"535"	"ATP2A1"	1
"536"	"ATP2A2"	1
"537"	"ATP2A3"	2
"538"	"ATP2B1"	1
"539"	"ATP2B2"	1
"540"	"ATP2B3"	2
"541"	"ATP2C1"	1
"542"	"ATP2C2"	3
"543"	"ATP4A"	2
"544"	"ATP6V0A4"	1
"545"	"ATP6V1B1"	1
"546"	"ATP6V1C2"	1
"547"	"ATP6V1E1"	1
"548"	"ATP6V1E2"	1
"549"	"ATP6V1H"	2
"550"	"ATP7A"	4
"551"	"ATP7B"	2
"552"	"ATP8A1"	3
"553"	"ATP8A2"	4
"554"	"ATP8B4"	3
"555"	"ATP9A"	1
"556"	"ATP9B"	1
"557"	"ATR"	4
"558"	"ATRAID"	1
"559"	"ATRIP"	1
"560"	"ATRN"	1
"561"	"ATRNL1"	8
"562"	"ATRX"	7
"563"	"ATXN1"	1
"564"	"ATXN10"	1
"565"	"ATXN2"	2
"566"	"ATXN2L"	1
"567"	"ATXN7L2"	2
"568"	"AUNIP"	1
"569"	"AURKB"	1
"570"	"AURKC"	1
"571"	"AUTS2"	4
"572"	"AVIL"	1
"573"	"AVPR1A"	3
"574"	"AVPR1B"	3
"575"	"AVPR2"	1
"576"	"AXDND1"	3
"577"	"AXIN2"	1
"578"	"AXL"	1
"579"	"AZI2"	1
"580"	"B3GALT4"	1
"581"	"B3GALT5"	1
"582"	"B3GALTL"	1
"583"	"B3GAT3"	1
"584"	"B3GNT2"	1
"585"	"B4GALNT2"	1
"586"	"B4GALNT3"	1
"587"	"B4GALNT4"	2
"588"	"B4GALT2"	1
"589"	"B4GALT5"	1
"590"	"B4GAT1"	1
"591"	"BABAM1"	1
"592"	"BAG4"	2
"593"	"BAHCC1"	2
"594"	"BAIAP2L1"	1
"595"	"BAIAP2L2"	1
"596"	"BAIAP3"	1
"597"	"BANK1"	1
"598"	"BANP"	2
"599"	"BAP1"	1
"600"	"BARD1"	2
"601"	"BARHL1"	1
"602"	"BARHL2"	2
"603"	"BARX2"	1
"604"	"BAZ1A"	2
"605"	"BAZ2B"	2
"606"	"BBS10"	1
"607"	"BBS12"	1
"608"	"BBS9"	1
"609"	"BCAM"	1
"610"	"BCAN"	2
"611"	"BCAR1"	2
